"alias","pop","parent","dims","method","args"
"nonDebris","nonDebris+","root","FSC-A","flowClust","min=0"
"lymph","lymph","nonDebris","FSC-A,SSC-A","flowClust","K=3,quantile=0.95,target=c(1e5,5e4)"
"cd3","cd3-","lymph","cd3","flowClust","K=3,neg=2"
"cd19","cd19+","cd3","cd19","flowClust","K=2"
"cd20","cd20+","cd3","cd20","flowClust","K=2"
"cd19&!cd20","cd19&!cd20","cd3",,"boolGate","cd19&!cd20"
"cd19&cd20","cd19&cd20","cd3",,"boolGate","cd19&cd20"
"transitional","transitional","cd19&cd20","cd38,cd24","flowClust","K=5,gate_type='axis',target=c(3.5e3,3.5e3),quantile=0.995,axis_translation=0.25"
"cd27gate","cd27+","cd19&cd20","cd27","flowClust","K=2,min=0.05"
"IgDgate","IgD+","cd19&cd20","IgD","flowClust","K=2,min=0.1"
"*","IgD+/-cd27+/-","cd19&cd20","IgD,cd27","refGate","cd27gate:IgDgate"
"plasma_cd27gate","cd27+","cd19&!cd20","cd27","flowClust","K=2"
"plasma_cd38gate","cd38+","cd19&!cd20","cd38","flowClust","K=2"
"plasmablast","cd27+cd38+","cd19&!cd20","cd27,cd38","refGate","plasma_cd27gate:plasma_cd38gate"